,발생년,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,lon,lat,월,시,분
5539,2016,야,수,1,1,0,0,0,서울,송파구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,963663.0,1945206.0,127.08868249999999,37.50509029,6,0,20
5568,2016,야,금,1,1,0,0,0,서울,강남구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,중형,보행자,보행자,959546.0,1946146.0,127.0425479,37.51360342,6,4,30
5573,2016,주,일,1,1,0,0,0,서울,강서구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,건설기계,건설기계,보행자,보행자,938529.0,1952826.0,126.803877,37.57275759,8,17,25
5579,2016,야,월,1,1,0,0,0,서울,중구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,957663.0,1951912.0,127.02060259999999,37.56559834,9,1,25
5592,2016,야,일,1,1,0,0,0,서울,강동구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,969571.0,1950717.0,127.1554882,37.55529783,7,23,45
5610,2016,야,목,1,1,0,0,0,서울,관악구,차대사람,보도통행중,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,보행자,보행자,951673.0,1942664.0,126.9536285,37.48184485,8,1,45
5639,2016,주,토,1,1,0,0,0,서울,금천구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,경형,보행자,보행자,947151.0,1941236.0,126.90234469999999,37.46883064,4,17,0
5663,2016,주,화,1,2,1,0,0,서울,동작구,차대차,측면직각충돌,운전자법규위반,차로위반(진로변경 위반),단일로,기타단일로,승용차,경형,승용차,소형,949145.0,1945884.0,126.9244277,37.51032334,5,12,20
5675,2016,주,화,1,1,0,0,0,서울,은평구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,건설기계,건설기계,보행자,보행자,948286.0,1954983.0,126.9142112,37.5927986,5,8,5
5702,2016,야,월,1,1,0,0,0,서울,성동구,차대차,측면직각충돌,운전자법규위반,중앙선 침범,교차로,교차로부근,승용차,경형,이륜차,대형,959186.0,1952521.0,127.03781370000002,37.57115618,6,19,10
5712,2016,야,금,1,1,0,0,0,서울,서초구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,954978.0,1941805.0,126.9911845,37.47446997,7,0,30
5751,2016,주,수,1,1,0,0,0,서울,구로구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,945513.0,1943815.0,126.88363100000001,37.49198047,11,9,30
5757,2016,주,목,1,1,0,0,0,서울,용산구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,중형,보행자,보행자,955784.0,1947113.0,126.9996159,37.52225542,11,7,0
5788,2016,야,금,1,2,0,1,0,서울,성북구,차대사람,보도통행중,운전자법규위반,중앙선 침범,교차로,교차로내,이륜차,중형,보행자,보행자,958774.0,1954759.0,127.0330223,37.59130946,4,23,55
5842,2016,야,수,1,2,0,0,1,서울,마포구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,소형,승용차,중형,948615.0,1950523.0,126.91825060000001,37.55261866,6,3,30
5862,2016,주,일,2,3,1,0,0,서울,성북구,차대차,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,화물차,중형,959728.0,1957766.0,127.04366259999999,37.61845447,5,8,35
5883,2016,주,수,1,2,1,0,0,서울,금천구,차대차,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,이륜차,대형,947183.0,1940767.0,126.9027402,37.46460526,8,8,30
5885,2016,야,수,1,1,0,0,0,서울,강서구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,경형,보행자,보행자,942520.0,1951190.0,126.8491983,37.5582702,8,23,55
5960,2016,주,수,1,1,0,0,0,서울,동작구,차대차,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,이륜차,중형,948955.0,1944670.0,126.9225065,37.49988349,5,17,15
5978,2016,야,금,1,1,0,0,0,서울,성북구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,보행자,보행자,958835.0,1955813.0,127.0336539,37.60081213,5,4,1
6035,2016,야,금,1,1,0,0,0,서울,강남구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로부근,승용차,중형,이륜차,중형,960852.0,1946825.0,127.05698319999999,37.51988863,6,21,30
6105,2016,주,수,1,1,0,0,0,서울,양천구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,941394.0,1947232.0,126.8367663,37.52252579,8,8,14
6118,2016,야,금,1,1,0,0,0,서울,중구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도부근,승용차,중형,보행자,보행자,955424.0,1951473.0,126.99527720000002,37.56153586,12,4,25
6122,2016,야,월,1,1,0,0,0,서울,노원구,차대차,측면직각충돌,운전자법규위반,중앙선 침범,교차로,교차로내,이륜차,소형,승합차,소형,963364.0,1958273.0,127.0848371,37.62317632,12,20,5
6139,2016,야,월,1,1,0,0,0,서울,마포구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,중형,보행자,보행자,951670.0,1951006.0,126.9528041,37.55713736,5,3,20
6141,2016,주,목,1,1,0,0,0,서울,강북구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,보행자,보행자,960006.0,1958739.0,127.0467594,37.62723645,5,17,55
6191,2016,주,수,1,1,0,0,0,서울,서대문구,차대차,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,자전거,자전거,950194.0,1954345.0,126.9358665,37.58715353,5,17,26
6216,2016,야,월,1,2,0,0,1,서울,강서구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,승용차,소형,940549.0,1951366.0,126.8267626,37.55976771,7,0,5
6237,2016,야,금,1,1,0,0,0,서울,도봉구,차대사람,보도통행중,운전자법규위반,과속,단일로,횡단보도상,승용차,중형,보행자,보행자,958653.0,1961382.0,127.0312771,37.65099832,8,3,32
6254,2016,주,목,1,1,0,0,0,서울,영등포구,차대차,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,건설기계,건설기계,자전거,자전거,947627.0,1947490.0,126.90728200000001,37.52522622,11,13,0
6268,2016,야,일,1,3,0,2,0,서울,강북구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,959579.0,1957635.0,127.04198149999999,37.6172672,11,19,25
6322,2016,주,일,1,7,2,2,2,서울,영등포구,차대차,측면직각충돌,운전자법규위반,신호위반,단일로,기타단일로,승용차,중형,승용차,중형,949936.0,1946922.0,126.9334511,37.52023497,6,15,40
6344,2016,주,토,1,1,0,0,0,서울,마포구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,950693.0,1949809.0,126.94182340000002,37.54629683,8,8,24
6347,2016,주,금,1,1,0,0,0,서울,성북구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,중형,보행자,보행자,957920.0,1953577.0,127.023417,37.58061717,7,8,51
6395,2016,야,일,1,1,0,0,0,서울,송파구,차대사람,보도통행중,운전자법규위반,신호위반,단일로,기타단일로,승용차,대형,보행자,보행자,965734.0,1944576.0,127.1116094,37.5005286,7,5,58
6400,2016,주,목,1,1,0,0,0,서울,강북구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,중형,보행자,보행자,958890.0,1957165.0,127.034201,37.61300044,8,6,40
6406,2016,야,토,1,1,0,0,0,서울,강동구,차대사람,보도통행중,운전자법규위반,신호위반,단일로,기타단일로,승용차,중형,보행자,보행자,971128.0,1951484.0,127.1730858,37.56226125,9,4,20
6408,2016,주,화,1,1,0,0,0,서울,강동구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,건설기계,건설기계,보행자,보행자,970588.0,1949637.0,127.1670456,37.54559636,7,16,15
6418,2016,야,금,1,1,0,0,0,서울,은평구,차대차,측면직각충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,승용차,중형,949248.0,1955876.0,126.92504579999999,37.60090084,7,19,20
6467,2016,야,화,1,1,0,0,0,서울,도봉구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,958943.0,1961090.0,127.03458090000001,37.6483795,2,23,25
6468,2016,주,월,1,1,0,0,0,서울,송파구,차대차,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,건설기계,건설기계,964699.0,1946035.0,127.10055459999998,37.51292329,2,15,55
6520,2016,야,토,1,1,0,0,0,서울,마포구,차대사람,보도통행중,운전자법규위반,과속,단일로,횡단보도상,승용차,경형,보행자,보행자,951976.0,1950495.0,126.95630200000001,37.55254763,2,1,0
6527,2016,야,일,1,1,0,0,0,서울,강동구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,보행자,보행자,968946.0,1948631.0,127.14850049999998,37.53647497,3,4,20
6550,2016,주,금,1,1,0,0,0,서울,양천구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,940584.0,1948701.0,126.8274814,37.53571405,3,8,34
6579,2016,야,토,1,1,0,0,0,서울,용산구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,교량위,승용차,중형,보행자,보행자,956034.0,1949553.0,127.0022989,37.54425976,3,2,20
6587,2016,주,수,1,1,0,0,0,서울,강북구,차대사람,보도통행중,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,보행자,보행자,957486.0,1958657.0,127.01820659999998,37.62638422,3,9,40
6590,2016,야,월,1,1,0,0,0,서울,구로구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,보행자,보행자,941577.0,1943689.0,126.83911880000001,37.49060414,2,5,15
6643,2016,주,수,1,6,1,3,1,서울,강남구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,승용차,중형,962227.0,1943661.0,127.0727055,37.49142755,3,11,5
6663,2016,주,화,1,1,0,0,0,서울,동대문구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,경형,보행자,보행자,959889.0,1953575.0,127.04571670000001,37.58068706,3,7,16
6685,2016,야,수,1,4,3,0,0,서울,광진구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,승용차,중형,962601.0,1951739.0,127.07652479999999,37.56425284,2,5,10
6708,2016,야,화,1,1,0,0,0,서울,은평구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도부근,승합차,대형,보행자,보행자,948814.0,1958512.0,126.9199449,37.62463514,1,5,56
6709,2016,야,토,1,1,0,0,0,서울,강동구,차대사람,보도통행중,운전자법규위반,신호위반,교차로,교차로내,승합차,대형,보행자,보행자,970962.0,1950933.0,127.1712281,37.55728964,1,22,40
6828,2016,주,월,1,1,0,0,0,서울,노원구,차대사람,보도통행중,운전자법규위반,신호위반,교차로,교차로내,화물차,소형,보행자,보행자,963297.0,1957946.0,127.0840943,37.62022632,1,17,20
6903,2016,야,토,1,6,5,0,0,서울,영등포구,차대차,측면직각충돌,운전자법규위반,과속,단일로,기타단일로,승용차,중형,화물차,소형,945946.0,1949390.0,126.88811880000002,37.5422541,1,3,50
6921,2016,야,수,1,1,0,0,0,서울,중구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,953362.0,1950773.0,126.9722753,37.55493928,1,0,30
6924,2016,주,금,1,1,0,0,0,서울,금천구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,보행자,보행자,946329.0,1942017.0,126.8929925,37.47582257,1,11,15
6929,2016,주,토,1,1,0,0,0,서울,은평구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,대형,보행자,보행자,949800.0,1956742.0,126.9312396,37.60873645,2,6,35
7023,2016,주,토,1,1,0,0,0,서울,강서구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,보행자,보행자,944906.0,1950158.0,126.8762892,37.54911454,11,10,25
7036,2016,야,금,1,1,0,0,0,서울,송파구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,보행자,보행자,966136.0,1943977.0,127.11690929999999,37.49442746,12,0,43
7091,2016,주,금,1,1,0,0,0,서울,용산구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,952399.0,1949038.0,126.96118519999999,37.53943736,10,11,20
7096,2016,주,일,1,3,2,0,0,서울,중구,차대차,측면직각충돌,운전자법규위반,안전거리 미확보,교차로,교차로부근,승용차,대형,승용차,중형,953127.0,1951258.0,126.96928359999998,37.55948398,9,16,32
7164,2016,주,월,1,1,0,0,0,서울,중구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,보행자,보행자,953770.0,1951742.0,126.9765331,37.56387887,9,10,0
7176,2016,주,화,1,1,0,0,0,서울,광진구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,963430.0,1948728.0,127.0860616,37.53714693,10,12,0
7180,2016,주,금,1,1,0,0,0,서울,금천구,차대차,측면직각충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,이륜차,소형,승합차,대형,946756.0,1941211.0,126.8979596,37.46878224,9,14,45
7182,2016,주,수,1,1,0,0,0,서울,광진구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,화물차,중형,보행자,보행자,962319.0,1948626.0,127.0734916,37.53618281,10,9,12
7204,2016,야,목,1,1,0,0,0,서울,중구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,보행자,보행자,956561.0,1951079.0,127.00817409999999,37.55803898,10,21,34
7210,2016,야,금,1,1,0,0,0,서울,중랑구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승용차,중형,보행자,보행자,962884.0,1955045.0,127.07956159999999,37.59406226,10,20,35
7215,2016,주,수,1,1,0,0,0,서울,노원구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,중형,보행자,보행자,960635.0,1964394.0,127.05358249999999,37.67823303,10,12,35
7216,2016,야,월,1,1,0,0,0,서울,동대문구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,960648.0,1953780.0,127.05430159999999,37.58256755,11,5,53
7270,2016,주,화,1,1,0,0,0,서울,용산구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,955952.0,1948373.0,127.0014415,37.53362019,10,6,2
7273,2016,야,일,1,1,0,0,0,서울,성동구,차대사람,보도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,중형,보행자,보행자,958155.0,1951900.0,127.02521170000001,37.56498241,10,0,42
7300,2016,주,토,1,1,0,0,0,서울,서대문구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,949128.0,1952038.0,126.92395309999999,37.56630201,10,14,50
7303,2016,주,월,1,1,0,0,0,서울,강서구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,944363.0,1950610.0,126.870108,37.55315581,10,10,40
7314,2016,주,목,1,1,0,0,0,서울,금천구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,경형,보행자,보행자,946752.0,1942258.0,126.8977376,37.47798757,10,6,15
7325,2016,야,금,1,4,0,2,1,서울,서대문구,차대사람,보도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,중형,보행자,보행자,949655.0,1951783.0,126.9299378,37.56403263,9,2,56
7340,2016,야,월,1,1,0,0,0,서울,도봉구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,승용차,중형,960734.0,1960792.0,127.054899,37.64577192,10,18,59
7345,2016,주,목,1,1,0,0,0,서울,동작구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,화물차,소형,보행자,보행자,950482.0,1945357.0,126.9373967,37.50476318,10,16,15
7349,2016,야,월,1,1,0,0,0,서울,금천구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,화물차,중형,자전거,자전거,946025.0,1940008.0,126.8897017,37.45769733,10,5,34
7390,2016,야,화,1,1,0,0,0,서울,용산구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,보행자,보행자,953094.0,1950618.0,126.96895090000001,37.55371386,9,18,45
7392,2016,야,수,1,1,0,0,0,서울,강동구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,967912.0,1947789.0,127.13683370000001,37.52885024,9,5,55
7413,2016,야,화,1,1,0,0,0,서울,서초구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,957354.0,1943006.0,127.01762099999999,37.48531156,10,5,20
7423,2016,야,수,1,1,0,0,0,서울,구로구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,보행자,보행자,943065.0,1943791.0,126.85594209999998,37.49161644,9,1,48
7448,2016,야,월,1,1,0,0,0,서울,은평구,차대차,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,자전거,자전거,화물차,소형,948463.0,1956799.0,126.9160882,37.60917622,10,5,45
7485,2016,야,토,1,1,0,0,0,서울,영등포구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,947533.0,1944637.0,126.90601409999998,37.49957638,7,20,50
7488,2016,주,화,1,1,0,0,0,서울,성동구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,957560.0,1950040.0,127.0195447,37.54872077,9,6,25
7495,2016,주,토,1,1,0,0,0,서울,강서구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,소형,승합차,대형,942086.0,1951145.0,126.8445032,37.55799275,1,11,10
7498,2016,야,목,1,1,0,0,0,서울,양천구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로부근,자전거,자전거,자전거,자전거,944324.0,1947670.0,126.8698895,37.52665506,1,19,35
7564,2016,주,목,1,1,0,0,0,서울,동대문구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,958488.0,1953577.0,127.0298498,37.58064296,1,12,5
7568,2016,주,화,1,1,0,0,0,서울,동작구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,950493.0,1945431.0,126.9398545,37.50682634,1,13,46
7627,2016,주,일,1,2,1,0,0,서울,강북구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,화물차,중형,원동기장치자전거,원동기장치자전거,958356.0,1958142.0,127.028095,37.62178228,4,7,10
7641,2016,주,금,1,2,0,1,0,서울,송파구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,이륜차,소형,보행자,보행자,967034.0,1943214.0,127.12710200000001,37.48758267,11,16,5
7643,2016,주,일,1,1,0,0,0,서울,금천구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,화물차,중형,이륜차,소형,946711.0,1939556.0,126.8974906,37.45366314,10,13,5
7673,2016,야,목,1,1,0,0,0,서울,종로구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,954513.0,1952433.0,126.984903,37.57014399,2,22,34
7723,2016,야,금,1,1,0,0,0,서울,양천구,차대사람,보도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,대형,보행자,보행자,943777.0,1948440.0,126.8636403,37.53356193,4,1,0
7768,2016,야,목,1,1,0,0,0,서울,은평구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,이륜차,소형,보행자,보행자,948375.0,1957804.0,126.9150202,37.61822937,12,18,33
7791,2016,야,금,1,1,0,0,0,서울,서초구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,960815.0,1940012.0,127.05692739999999,37.45847867,3,23,35
7834,2016,주,화,1,1,0,0,0,서울,서대문구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도부근,건설기계,건설기계,보행자,보행자,949644.0,1951961.0,126.929801,37.56563636,11,10,40
7880,2016,야,금,1,1,0,0,0,서울,도봉구,차대사람,보도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,중형,보행자,보행자,959921.0,1965617.0,127.0454183,37.68922512,12,0,5
7886,2016,야,일,1,1,0,0,0,서울,동대문구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승합차,대형,보행자,보행자,960889.0,1954444.0,127.05699560000001,37.58856263,11,20,40
7899,2016,야,금,1,1,0,0,0,서울,송파구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,대형,보행자,보행자,966117.0,1943682.0,127.1186118,37.49242113,12,4,25
7924,2016,야,금,1,1,0,0,0,서울,동작구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,950532.0,1946181.0,126.9402453,37.51358835,12,0,30
7953,2016,야,금,1,1,0,0,0,서울,동대문구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,경형,보행자,보행자,961401.0,1952127.0,127.0629169,37.56770048,9,22,5
7964,2016,야,금,1,2,1,0,0,서울,성동구,차대사람,보도통행중,운전자법규위반,중앙선 침범,단일로,횡단보도상,승용차,경형,보행자,보행자,961629.0,1949977.0,127.06583619999999,37.54874863,11,21,50
7983,2016,주,토,1,1,0,0,0,서울,도봉구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,경형,보행자,보행자,959693.0,1963063.0,127.04292520000001,37.66614048,1,6,20
8002,2016,주,월,1,1,0,0,0,서울,강북구,차대차,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,자전거,자전거,승용차,경형,959553.0,1959139.0,127.0416304,37.63071744,11,16,2
8013,2016,야,일,1,1,0,0,0,서울,성북구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,958667.0,1954096.0,127.0318477,37.58532889,7,5,1
8034,2016,주,목,1,1,0,0,0,서울,강동구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,특수차,소형,이륜차,중형,968519.0,1946491.0,127.1437591,37.5171717,2,10,12
8042,2016,야,금,1,3,1,1,0,서울,강남구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,중형,화물차,중형,965174.0,1941892.0,127.1061254,37.47559857,7,2,40
8074,2016,야,수,1,3,1,1,0,서울,강남구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,소형,승용차,중형,961758.0,1944720.0,127.0673452,37.50095345,12,1,50
8145,2016,야,일,1,2,1,0,0,서울,중구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,956644.0,1951243.0,127.0091041,37.55952106,10,2,34
8232,2016,야,금,1,1,0,0,0,서울,종로구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,보행자,보행자,953649.0,1953051.0,126.9748821,37.57566926,12,3,37
8334,2016,야,토,1,1,0,0,0,서울,광진구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,963461.0,1948058.0,127.08644579999999,37.53110919,9,1,15
8341,2016,주,금,1,4,0,2,1,서울,강남구,차대차,측면직각충돌,운전자법규위반,중앙선 침범,단일로,교량위,승용차,대형,승용차,중형,960850.0,1946844.0,127.05695959999998,37.5200598,10,6,40
8392,2016,야,토,1,1,0,0,0,서울,중구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,957489.0,1951903.0,127.0185886,37.56571092,10,0,2
8434,2016,주,화,1,1,0,0,0,서울,중구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,953535.0,1951656.0,126.9738777,37.56309191,12,6,50
8461,2016,주,목,1,1,0,0,0,서울,관악구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,보행자,보행자,952761.0,1941772.0,126.96574960000001,37.47396561,2,14,30
8474,2016,주,수,1,3,0,2,0,서울,영등포구,차대차,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,승용차,소형,946576.0,1949361.0,126.895252,37.54202946,1,8,20
8486,2016,야,토,1,1,0,0,0,서울,영등포구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,보행자,보행자,947124.0,1947616.0,126.9014625,37.52638665,1,0,30
8491,2016,주,목,1,2,0,1,0,서울,성북구,차대차,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,승용차,중형,957563.0,1955995.0,127.01901880000001,37.60252453,2,8,25
8567,2017,야,일,1,1,0,0,0,서울,송파구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,967570.0,1944453.0,127.13310700000001,37.49874052,1,2,28
8578,2017,야,월,1,1,0,0,0,서울,은평구,차대사람,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,승용차,보행자,보행자,948413.0,1957900.0,126.915444,37.61909675,1,4,30
8586,2017,주,월,1,5,0,4,0,서울,금천구,차대차,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,승용차,승합차,승합차,947235.0,1938476.0,126.9034922,37.44395888,1,17,40
8602,2017,야,화,1,1,0,0,0,서울,관악구,차대사람,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,951809.0,1942583.0,126.9549303,37.48122622,1,18,5
