,사고지역관리번호,사고년도,사고유형구분,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,lat,lon,사고다발지역폴리곤정보,데이터기준일자,구
5006,2016044,2015,보행어린이,11380001,서울특별시 은평구1,서울특별시 은평구 응암동(파리바게뜨 부근),3,3,0,1,2,0,37.58802407,126.91756093,"{type:Polygon,coordinates:[[[126.91935756,37.58802407],[126.91932304,37.58774632],[126.9192208,37.58747924],[126.91905478,37.58723311],[126.91883134,37.58701736],[126.91855909,37.58684031],[126.91824847,37.58670874],[126.91791144,37.58662773],[126.91756093,37.58660037],[126.91721043,37.58662773],[126.91687339,37.58670874],[126.91656278,37.58684031],[126.91629052,37.58701736],[126.91606709,37.58723311],[126.91590106,37.58747924],[126.91579882,37.58774632],[126.9157643,37.58802407],[126.91579882,37.58830181],[126.91590106,37.58856888],[126.91606709,37.58881502],[126.91629052,37.58903075],[126.91656278,37.5892078],[126.91687339,37.58933936],[126.91721043,37.58942038],[126.91756093,37.58944773],[126.91791144,37.58942038],[126.91824847,37.58933936],[126.91855909,37.5892078],[126.91883134,37.58903075],[126.91905478,37.58881502],[126.9192208,37.58856888],[126.91932304,37.58830181],[126.91935756,37.58802407]]]}",2019-10-10,은평구
5007,2016044,2015,보행어린이,11380002,서울특별시 은평구2,서울특별시 은평구 증산동(증산시장 부근),3,3,0,0,2,1,37.58186183,126.90499249,"{type:Polygon,coordinates:[[[126.90678912,37.58186183],[126.9067546,37.58158406],[126.90665236,37.58131696],[126.90648633,37.58107081],[126.9062629,37.58085505],[126.90599065,37.58067798],[126.90568003,37.5805464],[126.905343,37.58046538],[126.90499249,37.58043802],[126.90464199,37.58046538],[126.90430495,37.5805464],[126.90399434,37.58067798],[126.90372208,37.58085505],[126.90349865,37.58107081],[126.90333262,37.58131696],[126.90323038,37.58158406],[126.90319586,37.58186183],[126.90323038,37.5821396],[126.90333262,37.58240669],[126.90349865,37.58265285],[126.90372208,37.5828686],[126.90399434,37.58304567],[126.90430495,37.58317724],[126.90464199,37.58325826],[126.90499249,37.58328562],[126.905343,37.58325826],[126.90568003,37.58317724],[126.90599065,37.58304567],[126.9062629,37.5828686],[126.90648633,37.58265285],[126.90665236,37.58240669],[126.9067546,37.5821396],[126.90678912,37.58186183]]]}",2019-10-10,은평구
5008,2016044,2015,보행어린이,11410001,서울특별시 서대문구1,서울특별시 서대문구 홍은동(우방빌라 부근),3,5,0,3,2,0,37.58097663,126.92595789,"{type:Polygon,coordinates:[[[126.92775452,37.58097663],[126.92772,37.58069886],[126.92761776,37.58043176],[126.92745173,37.5801856],[126.9272283,37.57996984],[126.92695604,37.57979277],[126.92664543,37.57966119],[126.9263084,37.57958016],[126.92595789,37.5795528],[126.92560739,37.57958016],[126.92527035,37.57966119],[126.92495974,37.57979277],[126.92468748,37.57996984],[126.92446405,37.5801856],[126.92429802,37.58043176],[126.92419578,37.58069886],[126.92416126,37.58097663],[126.92419578,37.58125441],[126.92429802,37.5815215],[126.92446405,37.58176766],[126.92468748,37.58198342],[126.92495974,37.58216048],[126.92527035,37.58229206],[126.92560739,37.58237308],[126.92595789,37.58240044],[126.9263084,37.58237308],[126.92664543,37.58229206],[126.92695604,37.58216048],[126.9272283,37.58198342],[126.92745173,37.58176766],[126.92761776,37.5815215],[126.92772,37.58125441],[126.92775452,37.58097663]]]}",2019-10-10,서대문구
5009,2016044,2015,보행어린이,11500001,서울특별시 강서구1,서울특별시 강서구 내발산동(수명파크3단지 부근),3,3,0,2,1,0,37.55361587,126.82609786,"{type:Polygon,coordinates:[[[126.82789449,37.55361587],[126.82785997,37.55333799],[126.82775773,37.55307079],[126.8275917,37.55282454],[126.82736827,37.5526087],[126.82709601,37.55243156],[126.8267854,37.55229994],[126.82644836,37.55221888],[126.82609786,37.55219151],[126.82574735,37.55221888],[126.82541032,37.55229994],[126.8250997,37.55243156],[126.82482745,37.5526087],[126.82460401,37.55282454],[126.82443799,37.55307079],[126.82433575,37.55333799],[126.82430123,37.55361587],[126.82433575,37.55389374],[126.82443799,37.55416093],[126.82460401,37.55440718],[126.82482745,37.55462302],[126.8250997,37.55480015],[126.82541032,37.55493177],[126.82574735,37.55501282],[126.82609786,37.55504019],[126.82644836,37.55501282],[126.8267854,37.55493177],[126.82709601,37.55480015],[126.82736827,37.55462302],[126.8275917,37.55440718],[126.82775773,37.55416093],[126.82785997,37.55389374],[126.82789449,37.55361587]]]}",2019-10-10,강서구
5010,2016044,2015,보행어린이,11500002,서울특별시 강서구2,서울특별시 강서구 내발산동(수명중.고교입구 부근),3,3,0,2,0,1,37.5499056,126.82351615,"{type:Polygon,coordinates:[[[126.82531279,37.5499056],[126.82527826,37.54962771],[126.82517603,37.5493605],[126.82501,37.54911423],[126.82478656,37.54889838],[126.82451431,37.54872124],[126.8242037,37.5485896],[126.82386666,37.54850854],[126.82351615,37.54848117],[126.82316565,37.54850854],[126.82282861,37.5485896],[126.822518,37.54872124],[126.82224575,37.54889838],[126.82202231,37.54911423],[126.82185628,37.5493605],[126.82175405,37.54962771],[126.82171952,37.5499056],[126.82175405,37.55018349],[126.82185628,37.55045069],[126.82202231,37.55069695],[126.82224575,37.5509128],[126.822518,37.55108994],[126.82282861,37.55122157],[126.82316565,37.55130262],[126.82351615,37.55132999],[126.82386666,37.55130262],[126.8242037,37.55122157],[126.82451431,37.55108994],[126.82478656,37.5509128],[126.82501,37.55069695],[126.82517603,37.55045069],[126.82527826,37.55018349],[126.82531279,37.5499056]]]}",2019-10-10,강서구
5011,2016044,2015,보행어린이,11545001,서울특별시 금천구1,서울특별시 금천구 시흥동(은행나무오거리 부근),3,3,0,1,2,0,37.45147006,126.9085609,"{type:Polygon,coordinates:[[[126.91035753,37.45147006],[126.910323,37.45119181],[126.91022077,37.45092424],[126.91005474,37.45067765],[126.90983131,37.45046152],[126.90955905,37.45028414],[126.90924844,37.45015233],[126.9089114,37.45007117],[126.9085609,37.45004376],[126.90821039,37.45007117],[126.90787336,37.45015233],[126.90756274,37.45028414],[126.90729049,37.45046152],[126.90706705,37.45067765],[126.90690103,37.45092424],[126.90679879,37.45119181],[126.90676427,37.45147006],[126.90679879,37.45174832],[126.90690103,37.45201588],[126.90706705,37.45226246],[126.90729049,37.45247859],[126.90756274,37.45265597],[126.90787336,37.45278777],[126.90821039,37.45286893],[126.9085609,37.45289634],[126.9089114,37.45286893],[126.90924844,37.45278777],[126.90955905,37.45265597],[126.90983131,37.45247859],[126.91005474,37.45226246],[126.91022077,37.45201588],[126.910323,37.45174832],[126.91035753,37.45147006]]]}",2019-10-10,금천구
5012,2016044,2015,보행어린이,11560001,서울특별시 영등포구1,서울특별시 영등포구 양평동1가(양평역사거리 부근),3,3,0,0,3,0,37.52558401,126.88731567,"{type:Polygon,coordinates:[[[126.8891123,37.52558401],[126.88907778,37.52530603],[126.88897554,37.52503873],[126.88880951,37.52479239],[126.88858608,37.52457647],[126.88831382,37.52439926],[126.88800321,37.52426759],[126.88766617,37.5241865],[126.88731567,37.52415912],[126.88696516,37.5241865],[126.88662813,37.52426759],[126.88631751,37.52439926],[126.88604526,37.52457647],[126.88582183,37.52479239],[126.8856558,37.52503873],[126.88555356,37.52530603],[126.88551904,37.52558401],[126.88555356,37.52586199],[126.8856558,37.52612929],[126.88582183,37.52637562],[126.88604526,37.52659154],[126.88631751,37.52676874],[126.88662813,37.52690041],[126.88696516,37.52698149],[126.88731567,37.52700887],[126.88766617,37.52698149],[126.88800321,37.52690041],[126.88831382,37.52676874],[126.88858608,37.52659154],[126.88880951,37.52637562],[126.88897554,37.52612929],[126.88907778,37.52586199],[126.8891123,37.52558401]]]}",2019-10-10,영등포구
5013,2016044,2015,보행어린이,11560002,서울특별시 영등포구2,서울특별시 영등포구 신길동(청운빌딩 부근),3,3,0,0,3,0,37.50112767,126.90263039,"{type:Polygon,coordinates:[[[126.90442702,37.50112767],[126.9043925,37.5008496],[126.90429026,37.50058221],[126.90412423,37.50033579],[126.9039008,37.5001198],[126.90362855,37.49994253],[126.90331793,37.49981082],[126.9029809,37.4997297],[126.90263039,37.49970232],[126.90227989,37.4997297],[126.90194285,37.49981082],[126.90163224,37.49994253],[126.90135998,37.5001198],[126.90113655,37.50033579],[126.90097052,37.50058221],[126.90086828,37.5008496],[126.90083376,37.50112767],[126.90086828,37.50140574],[126.90097052,37.50167312],[126.90113655,37.50191954],[126.90135998,37.50213553],[126.90163224,37.50231279],[126.90194285,37.5024445],[126.90227989,37.50252561],[126.90263039,37.502553],[126.9029809,37.50252561],[126.90331793,37.5024445],[126.90362855,37.50231279],[126.9039008,37.50213553],[126.90412423,37.50191954],[126.90429026,37.50167312],[126.9043925,37.50140574],[126.90442702,37.50112767]]]}",2019-10-10,영등포구
5014,2016044,2015,보행어린이,11590001,서울특별시 동작구1,서울특별시 동작구 상도동(국민은행 부근),3,3,0,1,1,1,37.49913877,126.92814392,"{type:Polygon,coordinates:[[[126.92994055,37.49913877],[126.92990603,37.4988607],[126.92980379,37.4985933],[126.92963776,37.49834687],[126.92941433,37.49813087],[126.92914207,37.4979536],[126.92883146,37.49782188],[126.92849442,37.49774077],[126.92814392,37.49771338],[126.92779341,37.49774077],[126.92745638,37.49782188],[126.92714576,37.4979536],[126.92687351,37.49813087],[126.92665007,37.49834687],[126.92648405,37.4985933],[126.92638181,37.4988607],[126.92634729,37.49913877],[126.92638181,37.49941685],[126.92648405,37.49968424],[126.92665007,37.49993067],[126.92687351,37.50014666],[126.92714576,37.50032392],[126.92745638,37.50045564],[126.92779341,37.50053675],[126.92814392,37.50056414],[126.92849442,37.50053675],[126.92883146,37.50045564],[126.92914207,37.50032392],[126.92941433,37.50014666],[126.92963776,37.49993067],[126.92980379,37.49968424],[126.92990603,37.49941685],[126.92994055,37.49913877]]]}",2019-10-10,동작구
5015,2016044,2015,보행어린이,11620001,서울특별시 관악구1,서울특별시 관악구 신림동(뿌리약국 부근),3,3,0,1,2,0,37.47424766,126.91857584,"{type:Polygon,coordinates:[[[126.92037247,37.47424766],[126.92033795,37.47396949],[126.92023571,37.47370201],[126.92006969,37.4734555],[126.91984625,37.47323942],[126.919574,37.4730621],[126.91926338,37.47293033],[126.91892635,37.47284919],[126.91857584,37.47282179],[126.91822534,37.47284919],[126.9178883,37.47293033],[126.91757769,37.4730621],[126.91730543,37.47323942],[126.917082,37.4734555],[126.91691597,37.47370201],[126.91681374,37.47396949],[126.91677921,37.47424766],[126.91681374,37.47452583],[126.91691597,37.47479331],[126.917082,37.47503982],[126.91730543,37.47525589],[126.91757769,37.47543321],[126.9178883,37.47556497],[126.91822534,37.47564611],[126.91857584,37.4756735],[126.91892635,37.47564611],[126.91926338,37.47556497],[126.919574,37.47543321],[126.91984625,37.47525589],[126.92006969,37.47503982],[126.92023571,37.47479331],[126.92033795,37.47452583],[126.92037247,37.47424766]]]}",2019-10-10,관악구
